Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
South Carolina,US,3/27/2020 22:14,4,0,0
Louisiana,US,3/27/2020 22:14,8,1,0
Virginia,US,3/27/2020 22:14,2,0,0
Idaho,US,3/27/2020 22:14,54,0,0
Iowa,US,3/27/2020 22:14,1,0,0
Kentucky,US,3/27/2020 22:14,0,0,0
Missouri,US,3/27/2020 22:14,1,0,0
Oklahoma,US,3/27/2020 22:14,3,0,0
Colorado,US,3/27/2020 22:14,50,0,0
Idaho,US,3/27/2020 22:14,0,0,0
Illinois,US,3/27/2020 22:14,1,0,0
Indiana,US,3/27/2020 22:14,1,0,0
Iowa,US,3/27/2020 22:14,0,0,0
Mississippi,US,3/27/2020 22:14,6,0,0
Nebraska,US,3/27/2020 22:14,1,0,0
North Dakota,US,3/27/2020 22:14,0,0,0
Ohio,US,3/27/2020 22:14,0,0,0
Pennsylvania,US,3/27/2020 22:14,8,0,0
Washington,US,3/27/2020 22:14,3,0,0
Wisconsin,US,3/27/2020 22:14,0,0,0
Vermont,US,3/27/2020 22:14,13,0,0
South Carolina,US,3/27/2020 22:14,6,0,0
Minnesota,US,3/27/2020 22:14,0,0,0
Florida,US,3/27/2020 22:14,57,0,0
North Carolina,US,3/27/2020 22:14,5,0,0
California,US,3/27/2020 22:14,220,4,0
Colorado,US,3/27/2020 22:14,0,0,0
New York,US,3/27/2020 22:14,187,0,0
Wyoming,US,3/27/2020 22:14,1,0,0
Virginia,US,3/27/2020 22:14,8,0,0
Michigan,US,3/27/2020 22:14,0,0,0
Mississippi,US,3/27/2020 22:14,0,0,0
Alaska,US,3/27/2020 22:14,0,0,0
Alaska,US,3/27/2020 22:14,0,0,0
Illinois,US,3/27/2020 22:14,0,0,0
North Carolina,US,3/27/2020 22:14,0,0,0
Virginia,US,3/27/2020 22:14,18,0,0
Oklahoma,US,3/27/2020 22:14,0,0,0
Michigan,US,3/27/2020 22:14,0,0,0
Iowa,US,3/27/2020 22:14,7,1,0
Michigan,US,3/27/2020 22:14,1,0,0
Maryland,US,3/27/2020 22:14,0,0,0
New York,US,3/27/2020 22:14,2,0,0
North Carolina,US,3/27/2020 22:14,0,0,0
Virginia,US,3/27/2020 22:14,0,0,0
Pennsylvania,US,3/27/2020 22:14,158,2,0
Indiana,US,3/27/2020 22:14,21,1,0
Kansas,US,3/27/2020 22:14,0,0,0
Kentucky,US,3/27/2020 22:14,1,0,0
Louisiana,US,3/27/2020 22:14,5,0,0
Ohio,US,3/27/2020 22:14,0,0,0
South Carolina,US,3/27/2020 22:14,0,0,0
Michigan,US,3/27/2020 22:14,0,0,0
California,US,3/27/2020 22:14,0,0,0
California,US,3/27/2020 22:14,2,0,0
Virginia,US,3/27/2020 22:14,1,0,0
Virginia,US,3/27/2020 22:14,1,0,0
Mississippi,US,3/27/2020 22:14,0,0,0
